SN,KindSN,ChapterNumber,VerseNumber,FirstSN,NewOrOld,PY,ShortName,FullName
1,1,50,1533,1,0,"CSJ","创","创世记"
2,1,40,1213,1534,0,"CAJ","出","出埃及记"
3,1,27,859,2747,0,"LWJ","利","利未记"
4,1,36,1288,3606,0,"MSJ","民","民数记"
5,1,34,959,4894,0,"SMJ","申","申命记"
6,2,24,658,5853,0,"YS","书","约书亚记"
7,2,21,618,6511,0,"SSJ","士","士师记"
8,2,4,85,7129,0,"LDJ","得","路得记"
9,2,31,810,7214,0,"SMS","撒上","撒母耳记上"
10,2,24,695,8024,0,"SMX","撒下","撒母耳记下"
11,2,22,816,8719,0,"LWS","王上","列王纪上"
12,2,25,719,9535,0,"LWX","王下","列王纪下"
13,2,29,942,10254,0,"LDS","代上","历代志上"
14,2,36,822,11196,0,"LDX","代下","历代志下"
15,2,10,280,12018,0,"YSL","拉","以斯拉记"
16,2,13,406,12298,0,"NXM","尼","尼希米记"
17,2,10,167,12704,0,"YST","斯","以斯帖记"
18,3,42,1070,12871,0,"YBJ","伯","约伯记"
19,3,150,2461,13941,0,"SP","诗","诗篇"
20,3,31,915,16402,0,"ZY","箴","箴言"
21,3,12,222,17317,0,"CDS","传","传道书"
22,3,8,117,17539,0,"YG","歌","雅歌"
23,4,66,1292,17656,0,"YSY","赛","以赛亚书"
24,4,52,1364,18948,0,"YLM","耶","耶利米书"
25,4,5,154,20312,0,"YAG","哀","耶利米哀歌"
26,4,48,1273,20466,0,"YXJ","结","以西结书"
27,4,12,357,21739,0,"DYL","但","但以理书"
28,5,14,197,22096,0,"HXA","何","何西阿书"
29,5,3,73,22293,0,"YES","珥","约珥书"
30,5,9,146,22366,0,"AMS","摩","阿摩司书"
31,5,1,21,22512,0,"EBD","俄","俄巴底亚书"
32,5,4,48,22533,0,"YNS","拿","约拿书"
33,5,7,105,22581,0,"MJS","弥","弥迦书"
34,5,3,47,22686,0,"NHS","鸿","那鸿书"
35,5,3,56,22733,0,"HBG","哈","哈巴谷书"
36,5,3,53,22789,0,"XFY","番","西番雅书"
37,5,2,38,22842,0,"HGS","该","哈该书"
38,5,14,211,22880,0,"SJL","亚","撒迦利亚书"
39,5,4,55,23091,0,"MLJ","玛","玛拉基书"
40,6,28,1071,23146,1,"MT","太","马太福音"
41,6,16,678,24217,1,"MK","可","马可福音"
42,6,24,1151,24895,1,"LJ","路","路加福音"
43,6,21,878,26046,1,"YH","约","约翰福音"
44,6,28,1007,26924,1,"ST","徒","使徒行传"
45,7,16,433,27931,1,"LM","罗","罗马书"
46,7,16,437,28364,1,"GLQ","林前","哥林多前书"
47,7,13,257,28801,1,"GLH","林后","哥林多后书"
48,7,6,149,29058,1,"JLT","加","加拉太书"
49,7,6,155,29207,1,"YFS","弗","以弗所书"
50,7,4,104,29362,1,"FLB","腓","腓立比书"
51,7,4,95,29466,1,"GLX","西","歌罗西书"
52,7,5,89,29561,1,"TSQ","帖前","帖撒罗尼迦前书"
53,7,3,47,29650,1,"TSH","帖后","帖撒罗尼迦后书"
54,7,6,113,29697,1,"TMQ","提前","提摩太前书"
55,7,4,83,29810,1,"TMH","提后","提摩太后书"
56,7,3,46,29893,1,"TDS","多","提多书"
57,7,1,25,29939,1,"FLM","门","腓利门书"
58,8,13,303,29964,1,"XBL","来","希伯来书"
59,8,5,108,30267,1,"YGS","雅","雅各书"
60,8,5,105,30375,1,"BDQ","彼前","彼得前书"
61,8,3,61,30480,1,"BDH","彼后","彼得后书"
62,8,5,105,30541,1,"YHY","约壹","约翰壹书"
63,8,1,13,30646,1,"YHE","约贰","约翰贰书"
64,8,1,15,30659,1,"YHS","约叁","约翰叁书"
65,8,1,25,30674,1,"YDS","犹","犹大书"
66,8,22,403,30699,1,"QSL","启","启示录"
